# E_gamma(MeV)   Spectrum
4.317880e+03 1.409488e-54
4.542710e+03 2.760804e-58
4.779240e+03 2.928260e-62
5.028090e+03 1.870271e-66
5.289890e+03 1.059910e-70
5.565330e+03 2.251851e-75
5.855110e+03 2.801306e-80
6.159980e+03 2.182723e-85
6.480720e+03 9.845066e-91
6.818160e+03 8.969223e-96
7.173170e+03 3.431716e-101
7.546670e+03 2.019439e-107
7.939620e+03 4.109739e-115
8.353020e+03 3.223833e-120
8.787950e+03 4.419274e-127
9.245530e+03 6.211451e-135
9.726930e+03 3.861907e-142
1.023340e+04 1.988401e-150
1.076620e+04 1.300848e-157
1.132680e+04 8.645652e-167
1.191660e+04 2.389342e-181
1.253710e+04 4.968111e-192
1.318990e+04 5.388580e-203
1.387660e+04 3.759002e-207
1.459920e+04 9.438340e-222
1.535930e+04 8.917560e-231
1.615910e+04 2.097078e-245
1.700050e+04 1.809788e-264
1.788570e+04 1.417967e-273
1.881690e+04 1.826370e-276
1.979670e+04 2.197786e-286
2.082750e+04 8.461743e-297
2.191200e+04 0.000000e+00
2.305290e+04 0.000000e+00
2.425320e+04 0.000000e+00
2.551610e+04 0.000000e+00
2.684460e+04 0.000000e+00
2.824240e+04 0.000000e+00
2.971300e+04 0.000000e+00
3.126010e+04 0.000000e+00
3.288770e+04 0.000000e+00
3.460020e+04 0.000000e+00
3.640170e+04 0.000000e+00
3.829710e+04 0.000000e+00
4.029120e+04 0.000000e+00
4.238910e+04 0.000000e+00
4.459630e+04 0.000000e+00
4.691830e+04 0.000000e+00
4.936130e+04 0.000000e+00
5.193150e+04 0.000000e+00
5.463550e+04 0.000000e+00
5.748030e+04 0.000000e+00
6.047320e+04 0.000000e+00
6.362200e+04 0.000000e+00
6.693470e+04 0.000000e+00
7.041990e+04 0.000000e+00
7.408660e+04 0.000000e+00
7.794420e+04 0.000000e+00
8.200260e+04 0.000000e+00
8.627240e+04 0.000000e+00
9.076450e+04 0.000000e+00
9.549040e+04 0.000000e+00
1.004630e+05 0.000000e+00
1.056930e+05 0.000000e+00
1.111970e+05 0.000000e+00
1.169870e+05 0.000000e+00
1.230780e+05 0.000000e+00
1.294860e+05 0.000000e+00
1.362290e+05 0.000000e+00
1.433220e+05 0.000000e+00
1.507850e+05 0.000000e+00
1.586360e+05 0.000000e+00
1.668960e+05 0.000000e+00
1.755860e+05 0.000000e+00
