E,FSR_primary,FSR_secondary,IFA_primary,IFA_secondary,direct_gamma_primary,direct_gamma_secondary,total,total_primary,total_secondary
16.2338,1.544987e+19,2.545299e+19,1.136014e+20,2.343745e+20,12019700000000.0,6.8981398798e+20,1.0786927599997e+21,1.2905128201970002e+20,9.4964147798e+20
17.0791,1.466757e+19,2.356567e+19,1.081797e+20,2.185675e+20,13944100000000.0,6.8165598606e+20,1.0466364400040998e+21,1.228472839441e+20,9.237891560599999e+20
17.9684,1.392404e+19,2.179794e+19,1.030251e+20,2.036644e+20,16176400000000.0,6.7073798382e+20,1.0131494799964001e+21,1.169491561764e+20,8.962003238200001e+20
18.904,1.321735e+19,2.014339e+19,9.812405e+19,1.8962e+20,18766200000000.0,6.6185998123e+20,9.829647899962e+20,1.1134141876619998e+20,8.7162337123e+20
19.8883,1.254567e+19,1.859598e+19,9.346369e+19,1.763916e+20,21770600000000.0,6.4910797823e+20,9.501049400006e+20,1.0600938177059999e+20,8.4409555823e+20
20.9238,1.19073e+19,1.714984e+19,8.903173e+19,1.639387e+20,25256000000000.0,6.3936297474e+20,9.213905699959999e+20,1.0093905525599999e+20,8.204515147399999e+20
22.0133,1.130051e+19,1.579955e+19,8.481656e+19,1.522226e+20,29299300000000.0,6.252569707e+20,8.893962199993e+20,9.611709929930002e+19,7.932791206999999e+20
23.1595,1.072381e+19,1.45398e+19,8.08072e+19,1.412067e+20,33990000000000.0,6.1294096601e+20,8.6021851e+20,9.153104399000001e+19,7.6868746601e+20
24.3654,1.017567e+19,1.336559e+19,7.69932e+19,1.30856e+20,39431700000000.016,5.9773496057e+20,8.291254600016999e+20,8.71689094317e+19,7.4195655057e+20
25.6341,9.654709e+18,1.227213e+19,7.336475e+19,1.211377e+20,45744500000000.0,5.8344995426e+20,7.998792890045e+20,8.30195047445e+19,7.1685978426e+20
26.9688,9.159593e+18,1.125486e+19,6.991245e+19,1.120198e+20,50318700000000.0,5.6762994968e+20,7.699767029986998e+20,7.90720933187e+19,6.909046096799999e+20
28.373,8.689024e+18,1.030954e+19,6.662746e+19,1.034725e+20,60101700000000.03,5.517089399e+20,7.408075240017001e+20,7.531654410170001e+19,6.654909799e+20
